,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1
0,0,481,2915,710,1734,1341,2319,297,3809,5325,935,3759,3126,2196,997,3021,3333,4321,395,1453,3392,2027,1938,2426,2848,1592,28,1225,2914,1465,3497,2704,3229,2137,4051,1084,2418,4953,4212,3310,1258,1802,4664,5242,4047,3391,727,1133,4931,4077,2493,3247,649,3737,2926,3331,700,1189,843,2433,2211,3514,3768,4832,609,670,1831,5044,715,1131,4004,5118,4978,4817,549,2076,4218,2405,4080,5147,2145,2957,4457,809,3029,632,5063,3069,1283,3185,3716,4945,3763,4322,2622,3285,3421,5068,4598,2941
1,1,938,619,3026,1897,3873,2491,2077,4659,157,2082,4361,4007,1477,4438,3144,2088,4976,3314,2090,4913,4873,4092,1211,3760,2522,3052,4652,453,678,2548,2050,4929,790,4701,807,3963,87,2231,5155,1745,2325,3407,386,3701,4774,4088,3171,4771,1367,4832,366,3768,2603,700,4291,649,3514,1189,2294,670,5192,413,850,843,2433,1831,4978,288,4817,5044,4218,5063,3421,549,715,5118,2405,1131,4004,3069,2076,609,3185,3029,2145,5147,3716,4457,632,2622,4945,4322,1283,809,3763,3285,4598,5068,2941
2,2,1608,134,1545,1258,3259,5191,2111,2897,3178,5025,3682,1883,2075,1073,4547,2505,1243,3883,1880,4217,4117,2681,280,1828,20,2378,3784,3753,2648,438,1184,4220,1818,3089,4402,1499,3349,490,1942,3242,2895,2455,702,5320,2915,2322,195,3006,1771,2636,5118,4099,2305,2271,3430,2626,3069,367,2405,4867,4074,2258,4817,609,4004,5044,2076,3934,3081,4978,1283,239,5147,3185,3029,3763,549,2850,4457,4322,4218,1448,2957,1381,2926,2622,4945,4080,3716,809,2493,2145,2371,4598,2211,5068,2941,3421,3285
3,3,4510,3577,1324,3617,1523,2256,3184,884,4653,916,550,37,1013,4209,5315,3818,4618,2684,3369,1168,2148,4866,3439,2131,4939,3800,1205,1245,762,3397,598,4473,1513,4187,1661,1177,1188,805,1809,739,666,278,237,3365,233,1374,296,1834,1743,2661,680,1212,2622,3277,4538,4312,1845,4735,3137,1283,3664,2351,1746,5215,1479,2371,288,752,3318,3430,3208,4573,5102,4011,809,2145,4158,2059,4137,3763,3421,1231,2211,1303,3961,1163,1740,4598,413,4765,4883,2504,367,3285,5068,2258,3934,2941,1381
4,4,3591,4073,2035,5050,2820,2675,3639,3196,2669,469,584,1961,4290,5255,4257,1953,1500,1241,140,3045,292,644,3775,283,2530,5029,4805,4049,3887,1229,2106,4845,1849,1453,2186,2242,3433,4008,949,1024,3370,2809,2182,1266,3604,5292,3606,1341,3379,2145,3737,1826,5118,2076,1221,4817,3029,4457,1448,3015,5287,1087,4254,809,4086,1283,2170,1616,2433,4499,2850,4218,549,4993,2957,366,2305,3185,2371,4959,1539,3763,4080,632,4945,1831,3069,3285,2622,5063,4322,2211,3716,5068,2926,4598,413,2941,3421
5,5,2241,1739,4572,3730,4440,2896,5051,2828,476,1485,5078,4958,337,2437,4274,3481,2969,836,4120,2670,1834,3370,2654,5267,901,2696,771,750,3786,4879,779,4622,3374,1643,3351,2240,4992,1411,3474,1587,4208,2089,5331,3184,308,5075,162,3454,2287,555,3961,4457,2371,4344,3092,3326,1221,4011,2208,3137,1505,1479,5102,4669,3069,2850,1746,3285,3716,2637,2493,2936,2351,1231,3185,2211,4538,752,4080,2957,3430,632,5068,1163,4945,3763,2593,2622,4322,413,4883,4765,367,2258,3421,3934,2941,4598,1381
6,6,1670,3978,1733,4154,3908,377,4098,2929,2288,172,1618,3929,4477,200,3351,5248,1968,5027,1659,1246,1362,2178,5252,2437,2475,4752,4921,2005,1210,1829,2584,308,5075,1965,2631,3952,1731,3465,3325,520,2643,304,3765,667,2971,2465,4378,2896,190,3464,2046,4467,4295,2151,1388,1766,2661,2179,143,2145,2960,1788,2351,2292,4573,1479,3763,2211,413,2637,4669,3277,981,1231,3961,1740,3362,2021,367,4011,1232,4538,4598,3285,3208,2504,1983,5068,5102,2936,3111,2258,752,4765,2941,4883,3934,3430,1381
7,7,2717,4314,1647,84,4059,3529,3692,2440,4435,933,1809,4543,881,4843,1960,1090,3831,3182,2234,1916,2649,4571,4407,3771,3156,255,4708,616,607,432,2776,207,2057,3930,2838,137,2798,928,5034,5072,1291,1348,3821,4324,3516,4064,1504,4881,1242,2433,1425,3684,4158,2294,4218,3664,4150,4371,1831,1740,843,715,5063,5118,3580,649,3421,4004,2392,850,2076,2405,3069,1088,609,1131,3716,5215,4978,2622,3185,3029,4945,413,5044,5147,4457,4322,1303,809,1283,632,2145,288,4598,3763,3285,5068,2941
8,8,4002,2429,5171,1585,1116,4153,3075,4423,3275,1605,2823,4448,814,614,985,1248,3855,1480,4335,5016,743,2953,1653,2015,250,1304,23,1705,3254,1145,2081,4939,4977,3863,5143,4544,246,588,2524,2734,2697,2922,3141,13,1659,718,4009,310,3791,2850,3339,4654,3626,1273,1052,1788,143,896,2151,4573,198,680,2377,2710,2351,5186,1746,3267,4538,2211,1448,2021,2371,1812,2661,5170,1232,1479,2637,4669,1766,3092,1983,1163,3277,1231,3137,2936,3961,4011,5102,3430,367,752,4883,4765,2258,3934,1381
9,9,1559,2054,971,2698,2511,942,4380,2224,443,1521,4300,1422,4585,5149,1946,961,991,3933,1289,3510,2093,4703,1157,4215,4066,4356,1835,1920,1919,4738,3328,2345,729,311,299,4878,5071,516,3749,3030,2289,4607,1679,4642,3963,1977,3724,4303,3893,3331,3247,1189,2294,2957,1303,3768,670,4832,700,4291,2433,3514,649,549,850,843,4817,715,1831,288,4004,4218,609,4978,5044,2076,1131,5118,2405,5063,3421,3069,3716,2145,3029,2622,4945,5147,4457,3185,809,4322,1283,632,3763,3285,4598,5068,2941
